canonical_student_id,source_ids,classification,current_status,current_plan,contract_start,existing_cancellation_evidence,confidence_evidence,recommended_action
,b0f3ce4f95412f94,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,c3523874151ecf4d,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,7c9434a7f0d1c48f,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,53137b0703cc6480,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Premium,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,ddfbbb1dabbc5f43,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,78baf8c1817166c7,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,e7ee9c55a45b9d9e,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,5df8b73f77676d99,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,,,NOT_EXPORTED,UI_ID_ONLY,Read full Firestore identity and contract evidence; no backfill until reconciled
,b617de2b461e73c5,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,43d2a28cb5407ec6,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,1af3c347b9f4803c,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Turma,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,0e38e1dc74a58e9b,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,c36b750dc9d4c771,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,77d9c97f3856dafd,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,,,NOT_EXPORTED,UI_ID_ONLY,Read full Firestore identity and contract evidence; no backfill until reconciled
,41535602ca36ca98,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,2a4b6d5307572057,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,,,NOT_EXPORTED,UI_ID_ONLY,Read full Firestore identity and contract evidence; no backfill until reconciled
,7858899362d5c00d,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,3db821037b80d6ea,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Gold,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,335ffd55f3d64169,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Turma,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
,3ed08e8e900ad252,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,,,NOT_EXPORTED,UI_ID_ONLY,Read full Firestore identity and contract evidence; no backfill until reconciled
,b0bdc505709556f2,AMBIGUOUS,UI_ACTIVE_FLAG_SIM,Diamond,,NOT_EXPORTED,EXACT_UI_PEDAGOGICAL_ID,Read full Firestore identity and contract evidence; no backfill until reconciled
