identifier,source,classification,reason,conflicting_data,manual_action
"c3523874151ecf4d","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":53,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"53137b0703cc6480","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":21,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"ddfbbb1dabbc5f43","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":60,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"e7ee9c55a45b9d9e","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":53,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"43d2a28cb5407ec6","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":32,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"1af3c347b9f4803c","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":21,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"0e38e1dc74a58e9b","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":53,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"41535602ca36ca98","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":53,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"da943ebbabcca19c","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":65,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"b617de2b461e73c5","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":54,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"3ec0e645f49ec5d1","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":53,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"831403888eb65e08","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":53,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"b0bdc505709556f2","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":55,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"e20bb98ff7c469b3","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":32,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"385fdfd1eeb697a4","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":55,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"d06a9cdb83aa38f4","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":55,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"335ffd55f3d64169","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":47,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"3db821037b80d6ea","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":33,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"1169f45ac490b78b","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":175,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"8b37a3455ac87a63","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":72,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"dabb6deeaa7a84fe","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":33,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"f6797f34cfb71355","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":22,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"322704f33e1ad233","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":55,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"c87067748b981e29","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":32,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"510aae49be546518","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":36,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"d4aca3e0f45b3414","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":55,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"f3a760657b4bd345","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":22,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"6baf1f0212db03fe","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":22,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
"6e8d87ccd2ed6f25","pedagogical_student_reference","AMBIGUOUS","firestore_export_unavailable","{""pedagogical_rows"":22,""canonical_subscriptions"":0}","Export Firestore users and dated lifecycle history; do not infer active status, notice or churn from lessons."
