identifier,source,source_id_ref,ui_active_flag,plan,email_present,pedagogical_id_exact_match,pedagogical_rows,firestore_document_verified,canonical_student_id,subscription_id,contract_start,contract_end,cancellation_evidence,operational_eligible
b0f3ce4f95412f94,authenticated_ui_export,b0f3ce4f95412f94,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
c3523874151ecf4d,authenticated_ui_export,c3523874151ecf4d,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
7c9434a7f0d1c48f,authenticated_ui_export,7c9434a7f0d1c48f,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
53137b0703cc6480,authenticated_ui_export,53137b0703cc6480,sim,Premium,True,True,21,False,,,,,NOT_EXPORTED,UNDETERMINED
ddfbbb1dabbc5f43,authenticated_ui_export,ddfbbb1dabbc5f43,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
78baf8c1817166c7,authenticated_ui_export,78baf8c1817166c7,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
e7ee9c55a45b9d9e,authenticated_ui_export,e7ee9c55a45b9d9e,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
5df8b73f77676d99,authenticated_ui_export,5df8b73f77676d99,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
b617de2b461e73c5,authenticated_ui_export,b617de2b461e73c5,sim,Diamond,True,True,54,False,,,,,NOT_EXPORTED,UNDETERMINED
43d2a28cb5407ec6,authenticated_ui_export,43d2a28cb5407ec6,sim,Diamond,True,True,32,False,,,,,NOT_EXPORTED,UNDETERMINED
1af3c347b9f4803c,authenticated_ui_export,1af3c347b9f4803c,sim,Turma,True,True,21,False,,,,,NOT_EXPORTED,UNDETERMINED
0e38e1dc74a58e9b,authenticated_ui_export,0e38e1dc74a58e9b,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
c36b750dc9d4c771,authenticated_ui_export,c36b750dc9d4c771,sim,Diamond,True,True,69,False,,,,,NOT_EXPORTED,UNDETERMINED
77d9c97f3856dafd,authenticated_ui_export,77d9c97f3856dafd,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
41535602ca36ca98,authenticated_ui_export,41535602ca36ca98,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
2a4b6d5307572057,authenticated_ui_export,2a4b6d5307572057,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
7858899362d5c00d,authenticated_ui_export,7858899362d5c00d,sim,Diamond,True,True,72,False,,,,,NOT_EXPORTED,UNDETERMINED
3db821037b80d6ea,authenticated_ui_export,3db821037b80d6ea,sim,Gold,True,True,33,False,,,,,NOT_EXPORTED,UNDETERMINED
335ffd55f3d64169,authenticated_ui_export,335ffd55f3d64169,sim,Turma,True,True,47,False,,,,,NOT_EXPORTED,UNDETERMINED
3ed08e8e900ad252,authenticated_ui_export,3ed08e8e900ad252,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
b0bdc505709556f2,authenticated_ui_export,b0bdc505709556f2,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
dcecb8a4ee68d131,authenticated_ui_export,dcecb8a4ee68d131,sim,Gold,True,True,70,False,,,,,NOT_EXPORTED,UNDETERMINED
385fdfd1eeb697a4,authenticated_ui_export,385fdfd1eeb697a4,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
f1fcf0458938c8da,authenticated_ui_export,f1fcf0458938c8da,sim,Premium,True,True,12,False,,,,,NOT_EXPORTED,UNDETERMINED
dc34a2be7f67c8bf,authenticated_ui_export,dc34a2be7f67c8bf,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
c87067748b981e29,authenticated_ui_export,c87067748b981e29,sim,Diamond,True,True,32,False,,,,,NOT_EXPORTED,UNDETERMINED
7905180c6f632a33,authenticated_ui_export,7905180c6f632a33,sim,Premium,True,True,24,False,,,,,NOT_EXPORTED,UNDETERMINED
91b652f81c126fa7,authenticated_ui_export,91b652f81c126fa7,sim,Diamond,True,True,48,False,,,,,NOT_EXPORTED,UNDETERMINED
8389e4ed9c64ab62,authenticated_ui_export,8389e4ed9c64ab62,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
6c1e053942e3c728,authenticated_ui_export,6c1e053942e3c728,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
a78c738c7e3e2b8b,authenticated_ui_export,a78c738c7e3e2b8b,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
e9428fb77a199012,authenticated_ui_export,e9428fb77a199012,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
51016cd4100c9b9a,authenticated_ui_export,51016cd4100c9b9a,sim,Diamond,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
f3a760657b4bd345,authenticated_ui_export,f3a760657b4bd345,sim,Gold,True,True,22,False,,,,,NOT_EXPORTED,UNDETERMINED
1ee61909e214be19,authenticated_ui_export,1ee61909e214be19,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
3d669092778634fe,authenticated_ui_export,3d669092778634fe,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
b5999764422a451f,authenticated_ui_export,b5999764422a451f,sim,Gold,True,True,35,False,,,,,NOT_EXPORTED,UNDETERMINED
831403888eb65e08,authenticated_ui_export,831403888eb65e08,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
